locus_tag	ftype	gene	EC_number	product
GCA_001911775_00001	CDS			hypothetical protein
GCA_001911775_00002	CDS			hypothetical protein
GCA_001911775_00003	CDS			hypothetical protein
GCA_001911775_00004	CDS			hypothetical protein
GCA_001911775_00005	CDS			hypothetical protein
GCA_001911775_00006	CDS	eltA		Heat-labile enterotoxin A chain
GCA_001911775_00007	CDS	eltB		Heat-labile enterotoxin B chain
GCA_001911775_00008	CDS			hypothetical protein
GCA_001911775_00009	CDS	murI_1	5.1.1.3	Glutamate racemase
GCA_001911775_00010	CDS	btuB_1		Vitamin B12 transporter BtuB
GCA_001911775_00011	CDS			hypothetical protein
GCA_001911775_00012	CDS	xerC_1		Tyrosine recombinase XerC
GCA_001911775_00013	CDS			hypothetical protein
GCA_001911775_00014	CDS			hypothetical protein
GCA_001911775_00015	CDS			hypothetical protein
GCA_001911775_00016	CDS			hypothetical protein
GCA_001911775_00017	CDS			hypothetical protein
GCA_001911775_00018	CDS	groL_1		60 kDa chaperonin
GCA_001911775_00019	tRNA			tRNA-Leu(tag)
GCA_001911775_00020	tRNA			tRNA-Met(cat)
GCA_001911775_00021	tRNA			tRNA-Gln(ttg)
GCA_001911775_00022	tRNA			tRNA-Leu(tag)
GCA_001911775_00023	tRNA			tRNA-Met(cat)
GCA_001911775_00024	tRNA			tRNA-Lys(ttt)
GCA_001911775_00025	tRNA			tRNA-Lys(ttt)
GCA_001911775_00026	tRNA			tRNA-Leu(taa)
GCA_001911775_00027	tRNA			tRNA-Cys(gca)
GCA_001911775_00028	CDS	gntP_1		High-affinity gluconate transporter
GCA_001911775_00029	CDS	frdD_1		Fumarate reductase subunit D
GCA_001911775_00030	CDS			hypothetical protein
GCA_001911775_00031	CDS			hypothetical protein
GCA_001911775_00032	CDS	tfaE_1		Prophage tail fiber assembly protein TfaE
GCA_001911775_00033	CDS	tfaE_2		Prophage tail fiber assembly protein TfaE
GCA_001911775_00034	CDS			hypothetical protein
GCA_001911775_00035	CDS	hin_1		DNA-invertase hin
GCA_001911775_00036	CDS			hypothetical protein
GCA_001911775_00037	tRNA			tRNA-Gly(gcc)
GCA_001911775_00038	CDS			hypothetical protein
GCA_001911775_00039	CDS			hypothetical protein
GCA_001911775_00040	CDS			hypothetical protein
GCA_001911775_00041	CDS			hypothetical protein
GCA_001911775_00042	CDS	yedK	3.4.-.-	Putative SOS response-associated peptidase YedK
GCA_001911775_00043	CDS	tusA_1	2.8.1.-	Sulfurtransferase TusA
GCA_001911775_00044	CDS			hypothetical protein
GCA_001911775_00045	CDS			hypothetical protein
GCA_001911775_00046	CDS	amyA	3.2.1.1	Cytoplasmic alpha-amylase
GCA_001911775_00047	CDS	fliT		Flagellar protein FliT
GCA_001911775_00048	CDS	fliS		Flagellar protein FliS
GCA_001911775_00049	CDS	fliD		Flagellar hook-associated protein 2
GCA_001911775_00050	CDS	fliC		Flagellin
GCA_001911775_00051	CDS	fliA		RNA polymerase sigma factor FliA
GCA_001911775_00052	CDS	fliZ		Regulator of sigma S factor FliZ
GCA_001911775_00053	CDS	fliY		L-cystine-binding protein FliY
GCA_001911775_00054	CDS	dcyD	4.4.1.15	D-cysteine desulfhydrase
GCA_001911775_00055	CDS	yecS		L-cystine transport system permease protein YecS
GCA_001911775_00056	CDS	artM_1		Arginine transport ATP-binding protein ArtM
GCA_001911775_00057	CDS	sdiA		Regulatory protein SdiA
GCA_001911775_00058	CDS			hypothetical protein
GCA_001911775_00059	CDS	uvrY		Response regulator UvrY
GCA_001911775_00060	CDS	uvrC		UvrABC system protein C
GCA_001911775_00061	CDS	pgsA	2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
GCA_001911775_00062	tRNA			tRNA-Gly(gcc)
GCA_001911775_00063	tRNA			tRNA-Cys(gca)
GCA_001911775_00064	tRNA			tRNA-Leu(taa)
GCA_001911775_00065	CDS			hypothetical protein
GCA_001911775_00066	CDS			hypothetical protein
GCA_001911775_00067	CDS			hypothetical protein
GCA_001911775_00068	CDS			hypothetical protein
GCA_001911775_00069	CDS			hypothetical protein
GCA_001911775_00070	CDS			hypothetical protein
