locus_tag	ftype	gene	EC_number	product
GCA_001891995_00001	CDS			hypothetical protein
GCA_001891995_00002	CDS			hypothetical protein
GCA_001891995_00003	CDS			hypothetical protein
GCA_001891995_00004	CDS			hypothetical protein
GCA_001891995_00005	CDS			hypothetical protein
GCA_001891995_00006	CDS	intS_1		Prophage integrase IntS
GCA_001891995_00007	tRNA			tRNA-Arg(cct)
GCA_001891995_00008	CDS	yfdC		Inner membrane protein YfdC
GCA_001891995_00009	CDS	mlaA		putative phospholipid-binding lipoprotein MlaA
GCA_001891995_00010	CDS			hypothetical protein
GCA_001891995_00011	CDS	fadL		Long-chain fatty acid transport protein
GCA_001891995_00012	CDS			hypothetical protein
GCA_001891995_00013	CDS	fadI	2.3.1.16	3-ketoacyl-CoA thiolase
GCA_001891995_00014	CDS	fadJ		Fatty acid oxidation complex subunit alpha
GCA_001891995_00015	CDS	sixA	3.1.3.-	Phosphohistidine phosphatase SixA
GCA_001891995_00016	CDS	yfcV		putative fimbrial-like protein YfcV
GCA_001891995_00017	CDS	papC_1		Outer membrane usher protein PapC
GCA_001891995_00018	CDS	yfcS		putative fimbrial chaperone YfcS
GCA_001891995_00019	CDS	yfcR		putative fimbrial-like protein YfcR
GCA_001891995_00020	CDS	yfcQ		putative fimbrial-like protein YfcQ
GCA_001891995_00021	CDS	yfcP		putative fimbrial-like protein YfcP
GCA_001891995_00022	CDS			hypothetical protein
GCA_001891995_00023	CDS	mutS2	3.1.-.-	Endonuclease MutS2
GCA_001891995_00024	CDS	prmB	2.1.1.298	50S ribosomal protein L3 glutamine methyltransferase
GCA_001891995_00025	CDS	aroC	4.2.3.5	Chorismate synthase
GCA_001891995_00026	CDS	mepA	3.4.24.-	Penicillin-insensitive murein endopeptidase
GCA_001891995_00027	CDS			hypothetical protein
GCA_001891995_00028	CDS	epmC	1.14.-.-	Elongation factor P hydroxylase
GCA_001891995_00029	CDS			hypothetical protein
GCA_001891995_00030	CDS	mnmC		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
GCA_001891995_00031	CDS	fabB	2.3.1.41	3-oxoacyl-[acyl-carrier-protein] synthase 1
GCA_001891995_00032	CDS	garP_1		putative galactarate transporter
GCA_001891995_00033	CDS	flk		Flagellar regulator flk
GCA_001891995_00034	CDS			hypothetical protein
GCA_001891995_00035	CDS			hypothetical protein
GCA_001891995_00036	CDS			hypothetical protein
GCA_001891995_00037	CDS			hypothetical protein
GCA_001891995_00038	CDS			hypothetical protein
GCA_001891995_00039	CDS	gpFI		Putative prophage major tail sheath protein
GCA_001891995_00040	CDS			hypothetical protein
GCA_001891995_00041	CDS			hypothetical protein
GCA_001891995_00042	CDS			hypothetical protein
GCA_001891995_00043	CDS			hypothetical protein
GCA_001891995_00044	CDS	cysE_1	2.3.1.30	Serine acetyltransferase
GCA_001891995_00045	CDS	tfaE_1		Prophage tail fiber assembly protein TfaE
GCA_001891995_00046	CDS			hypothetical protein
GCA_001891995_00047	CDS			hypothetical protein
GCA_001891995_00048	CDS			hypothetical protein
GCA_001891995_00049	CDS			hypothetical protein
GCA_001891995_00050	CDS			hypothetical protein
GCA_001891995_00051	CDS			hypothetical protein
GCA_001891995_00052	CDS			hypothetical protein
GCA_001891995_00053	CDS			hypothetical protein
GCA_001891995_00054	CDS			hypothetical protein
GCA_001891995_00055	CDS			hypothetical protein
GCA_001891995_00056	CDS			hypothetical protein
GCA_001891995_00057	CDS			hypothetical protein
GCA_001891995_00058	CDS			hypothetical protein
