locus_tag	ftype	gene	EC_number	product
GCA_001901445_00001	CDS	clpB_1		Chaperone protein ClpB
GCA_001901445_00002	CDS	yfiH		Laccase domain protein YfiH
GCA_001901445_00003	CDS	rluD	5.4.99.23	Ribosomal large subunit pseudouridine synthase D
GCA_001901445_00004	CDS	bamD		Outer membrane protein assembly factor BamD
GCA_001901445_00005	CDS	raiA		Ribosome-associated inhibitor A
GCA_001901445_00006	CDS	pheA		P-protein
GCA_001901445_00007	CDS	tyrA		T-protein
GCA_001901445_00008	CDS	aroF	2.5.1.54	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
GCA_001901445_00009	CDS			hypothetical protein
GCA_001901445_00010	CDS			hypothetical protein
GCA_001901445_00011	CDS	yfiN	2.7.7.65	putative diguanylate cyclase YfiN
GCA_001901445_00012	CDS			Outer membrane protein Omp38
GCA_001901445_00013	CDS	rplS		50S ribosomal protein L19
GCA_001901445_00014	CDS	trmD	2.1.1.228	tRNA (guanine-N(1)-)-methyltransferase
GCA_001901445_00015	CDS	rimM		Ribosome maturation factor RimM
GCA_001901445_00016	CDS	rpsP		30S ribosomal protein S16
GCA_001901445_00017	CDS	ffh		Signal recognition particle protein
GCA_001901445_00018	CDS	ypjD		Inner membrane protein YpjD
GCA_001901445_00019	CDS	tlyC		Hemolysin C
GCA_001901445_00020	CDS	grpE		Protein GrpE
GCA_001901445_00021	CDS	nadK	2.7.1.23	NAD kinase
GCA_001901445_00022	CDS	recN		DNA repair protein RecN
GCA_001901445_00023	CDS	bamE		Outer membrane protein assembly factor BamE
GCA_001901445_00024	CDS	pasI		Persistence and stress-resistance antitoxin PasI
GCA_001901445_00025	CDS	ratA		Ribosome association toxin RatA
GCA_001901445_00026	CDS	smpB		SsrA-binding protein
GCA_001901445_00027	CDS			hypothetical protein
GCA_001901445_00028	tmRNA	ssrA		transfer-messenger RNA, SsrA
GCA_001901445_00029	CDS	intA		Prophage integrase IntA
GCA_001901445_00030	CDS			hypothetical protein
GCA_001901445_00031	CDS			hypothetical protein
GCA_001901445_00032	CDS	sasA	2.7.-.-	Adaptive-response sensory-kinase SasA
GCA_001901445_00033	CDS			hypothetical protein
GCA_001901445_00034	CDS			hypothetical protein
GCA_001901445_00035	CDS			hypothetical protein
GCA_001901445_00036	CDS	csiD		Protein CsiD
GCA_001901445_00037	CDS	lhgO	1.1.3.15	L-2-hydroxyglutarate oxidase LhgO
GCA_001901445_00038	CDS	gabD	1.2.1.79	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
GCA_001901445_00039	CDS	gabT	2.6.1.19	4-aminobutyrate aminotransferase GabT
GCA_001901445_00040	CDS	gabP		GABA permease
GCA_001901445_00041	CDS			hypothetical protein
GCA_001901445_00042	CDS			hypothetical protein
GCA_001901445_00043	CDS			hypothetical protein
GCA_001901445_00044	CDS	ygaV_1		putative HTH-type transcriptional regulator YgaV
GCA_001901445_00045	CDS	ygaP		Inner membrane protein YgaP
GCA_001901445_00046	CDS	stpA		DNA-binding protein StpA
GCA_001901445_00047	CDS	alaE		L-alanine exporter AlaE
GCA_001901445_00048	CDS			hypothetical protein
GCA_001901445_00049	CDS			hypothetical protein
GCA_001901445_00050	CDS	nrdH		Glutaredoxin-like protein NrdH
GCA_001901445_00051	CDS			Putative NrdI-like protein
GCA_001901445_00052	CDS	nrdE	1.17.4.1	Ribonucleoside-diphosphate reductase 2 subunit alpha
GCA_001901445_00053	CDS	nrdF	1.17.4.1	Ribonucleoside-diphosphate reductase 2 subunit beta
GCA_001901445_00054	CDS	proV		Glycine betaine/proline betaine transport system ATP-binding protein ProV
GCA_001901445_00055	CDS	proW		Glycine betaine/proline betaine transport system permease protein ProW
GCA_001901445_00056	CDS	proX		Glycine betaine/proline betaine-binding periplasmic protein
GCA_001901445_00057	CDS			putative transporter
GCA_001901445_00058	CDS	ygaZ		Inner membrane protein YgaZ
GCA_001901445_00059	CDS			hypothetical protein
GCA_001901445_00060	CDS	mprA		Transcriptional repressor MprA
GCA_001901445_00061	CDS	emrA		Multidrug export protein EmrA
GCA_001901445_00062	CDS	emrB		Multidrug export protein EmrB
GCA_001901445_00063	CDS	luxS	4.4.1.21	S-ribosylhomocysteine lyase
GCA_001901445_00064	CDS	gshA	6.3.2.2	Glutamate--cysteine ligase
GCA_001901445_00065	CDS	yqaA		Inner membrane protein YqaA
GCA_001901445_00066	CDS	yqaB	3.1.3.-	Fructose-1-phosphate phosphatase YqaB
GCA_001901445_00067	tRNA			tRNA-Arg(acg)
GCA_001901445_00068	tRNA			tRNA-Arg(acg)
GCA_001901445_00069	tRNA			tRNA-Arg(acg)
GCA_001901445_00070	tRNA			tRNA-Arg(tcg)
GCA_001901445_00071	tRNA			tRNA-Arg(acg)
GCA_001901445_00072	tRNA			tRNA-Ser(gct)
GCA_001901445_00073	CDS	csrA		Carbon storage regulator
GCA_001901445_00074	CDS	alaS	6.1.1.7	Alanine--tRNA ligase
GCA_001901445_00075	CDS	recX		Regulatory protein RecX
GCA_001901445_00076	CDS	recA_1		Protein RecA
GCA_001901445_00077	CDS	pncC_1	3.5.1.42	Nicotinamide-nucleotide amidohydrolase PncC
GCA_001901445_00078	CDS	mltB	4.2.2.-	Membrane-bound lytic murein transglycosylase B
GCA_001901445_00079	CDS	srlA		PTS system glucitol/sorbitol-specific EIIC component
GCA_001901445_00080	CDS	srlE	2.7.1.198	PTS system glucitol/sorbitol-specific EIIB component
GCA_001901445_00081	CDS	srlB	2.7.1.198	PTS system glucitol/sorbitol-specific EIIA component
GCA_001901445_00082	CDS	srlD	1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase
GCA_001901445_00083	CDS			hypothetical protein
GCA_001901445_00084	CDS	srlR_1		Glucitol operon repressor
GCA_001901445_00085	CDS	gutQ	5.3.1.13	Arabinose 5-phosphate isomerase GutQ
GCA_001901445_00086	CDS	norR		Anaerobic nitric oxide reductase transcription regulator NorR
GCA_001901445_00087	CDS	norV		Anaerobic nitric oxide reductase flavorubredoxin
GCA_001901445_00088	CDS	norW	1.18.1.-	Nitric oxide reductase FlRd-NAD(+) reductase
GCA_001901445_00089	CDS	hypF	2.1.3.-	Carbamoyltransferase HypF
GCA_001901445_00090	CDS	hyfA_1	1.-.-.-	Hydrogenase-4 component A
GCA_001901445_00091	CDS	ascG		HTH-type transcriptional regulator AscG
GCA_001901445_00092	CDS	bglF_1		PTS system beta-glucoside-specific EIIBCA component
GCA_001901445_00093	CDS	bglH_1	3.2.1.86	Aryl-phospho-beta-D-glucosidase BglH
GCA_001901445_00094	CDS	hycI	3.4.23.51	Hydrogenase 3 maturation protease
GCA_001901445_00095	CDS			hypothetical protein
GCA_001901445_00096	CDS	hycG_1		Formate hydrogenlyase subunit 7
