locus_tag	ftype	gene	EC_number	product
GCA_001891695_00001	CDS			hypothetical protein
GCA_001891695_00002	CDS			hypothetical protein
GCA_001891695_00003	CDS	srlB_1	2.7.1.198	PTS system glucitol/sorbitol-specific EIIA component
GCA_001891695_00004	CDS			hypothetical protein
GCA_001891695_00005	CDS	ramB		HTH-type transcriptional regulator RamB
GCA_001891695_00006	CDS			putative HTH-type transcriptional regulator
GCA_001891695_00007	CDS			hypothetical protein
GCA_001891695_00008	CDS			hypothetical protein
GCA_001891695_00009	CDS			hypothetical protein
GCA_001891695_00010	CDS			hypothetical protein
GCA_001891695_00011	CDS			hypothetical protein
GCA_001891695_00012	CDS			hypothetical protein
GCA_001891695_00013	CDS			hypothetical protein
GCA_001891695_00014	CDS			hypothetical protein
GCA_001891695_00015	CDS			hypothetical protein
GCA_001891695_00016	CDS			hypothetical protein
GCA_001891695_00017	CDS			hypothetical protein
GCA_001891695_00018	CDS			hypothetical protein
GCA_001891695_00019	CDS			hypothetical protein
GCA_001891695_00020	CDS			hypothetical protein
GCA_001891695_00021	CDS			hypothetical protein
GCA_001891695_00022	CDS			hypothetical protein
GCA_001891695_00023	CDS			hypothetical protein
GCA_001891695_00024	CDS			hypothetical protein
GCA_001891695_00025	CDS			hypothetical protein
GCA_001891695_00026	CDS			hypothetical protein
GCA_001891695_00027	CDS			hypothetical protein
GCA_001891695_00028	CDS			hypothetical protein
GCA_001891695_00029	CDS	ibpB_1		Small heat shock protein IbpB
GCA_001891695_00030	CDS	topB_1	5.99.1.2	DNA topoisomerase 3
GCA_001891695_00031	CDS			hypothetical protein
GCA_001891695_00032	CDS			hypothetical protein
GCA_001891695_00033	CDS			hypothetical protein
GCA_001891695_00034	CDS			hypothetical protein
GCA_001891695_00035	CDS			hypothetical protein
GCA_001891695_00036	CDS			hypothetical protein
GCA_001891695_00037	CDS			hypothetical protein
GCA_001891695_00038	CDS			hypothetical protein
GCA_001891695_00039	CDS	bspRIM	2.1.1.37	Modification methylase BspRI
GCA_001891695_00040	CDS			hypothetical protein
GCA_001891695_00041	CDS	radD_1	3.6.4.12	Putative DNA repair helicase RadD
GCA_001891695_00042	CDS			hypothetical protein
GCA_001891695_00043	CDS	vsr_1	3.1.-.-	Very short patch repair protein
GCA_001891695_00044	CDS	intA_1		Prophage integrase IntA
GCA_001891695_00045	CDS			hypothetical protein
GCA_001891695_00046	CDS			hypothetical protein
GCA_001891695_00047	CDS			hypothetical protein
GCA_001891695_00048	CDS			hypothetical protein
GCA_001891695_00049	CDS			hypothetical protein
GCA_001891695_00050	CDS	nucS	3.1.-.-	Endonuclease NucS
GCA_001891695_00051	CDS			hypothetical protein
GCA_001891695_00052	CDS	nanS	3.1.1.-	putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
GCA_001891695_00053	CDS	nanM	5.1.3.24	N-acetylneuraminate epimerase
GCA_001891695_00054	CDS	nanC		putative N-acetylneuraminic acid outer membrane channel protein NanC
GCA_001891695_00055	CDS	xerC_1		Tyrosine recombinase XerC
GCA_001891695_00056	CDS	xerD_1		Tyrosine recombinase XerD
GCA_001891695_00057	CDS			Fimbrial subunit type 1
