locus_tag	ftype	gene	EC_number	product
GCA_001614485_00001	CDS			hypothetical protein
GCA_001614485_00002	CDS	ecpA		Common pilus major fimbrillin subunit EcpA
GCA_001614485_00003	CDS	ecpB		putative fimbrial chaperone EcpB
GCA_001614485_00004	CDS	ecpC		putative outer membrane usher protein EcpC
GCA_001614485_00005	CDS	astA	2.3.1.109	Arginine N-succinyltransferase
GCA_001614485_00006	CDS	astD	1.2.1.71	N-succinylglutamate 5-semialdehyde dehydrogenase
GCA_001614485_00007	CDS	astB	3.5.3.23	N-succinylarginine dihydrolase
GCA_001614485_00008	CDS	astE	3.5.1.96	Succinylglutamate desuccinylase
GCA_001614485_00009	CDS			hypothetical protein
GCA_001614485_00010	CDS			hypothetical protein
GCA_001614485_00011	CDS			hypothetical protein
GCA_001614485_00012	CDS			hypothetical protein
GCA_001614485_00013	CDS			hypothetical protein
GCA_001614485_00014	CDS			hypothetical protein
GCA_001614485_00015	CDS			hypothetical protein
GCA_001614485_00016	CDS			hypothetical protein
GCA_001614485_00017	CDS			hypothetical protein
GCA_001614485_00018	CDS			hypothetical protein
GCA_001614485_00019	CDS	klcA_1		Antirestriction protein KlcA
GCA_001614485_00020	CDS			hypothetical protein
GCA_001614485_00021	CDS	ynfE	1.8.99.-	Putative dimethyl sulfoxide reductase chain YnfE
GCA_001614485_00022	CDS	ynfF	1.8.99.-	putative dimethyl sulfoxide reductase chain YnfF
GCA_001614485_00023	CDS	dmsB_1		Anaerobic dimethyl sulfoxide reductase chain B
GCA_001614485_00024	CDS	nifJ	1.2.7.-	Pyruvate-flavodoxin oxidoreductase
GCA_001614485_00025	CDS	ompN		Outer membrane protein N
GCA_001614485_00026	CDS	uspF		Universal stress protein F
GCA_001614485_00027	CDS			hypothetical protein
GCA_001614485_00028	CDS	pinR_1	3.1.22.-	Serine recombinase PinR
GCA_001614485_00029	CDS	tfaE_1		Prophage tail fiber assembly protein TfaE
GCA_001614485_00030	CDS			hypothetical protein
GCA_001614485_00031	CDS	ydjZ_1		TVP38/TMEM64 family inner membrane protein YdjZ
GCA_001614485_00032	CDS			hypothetical protein
GCA_001614485_00033	CDS	ydjZ_2		TVP38/TMEM64 family inner membrane protein YdjZ
GCA_001614485_00034	CDS	xthA	3.1.11.2	Exodeoxyribonuclease III
GCA_001614485_00035	CDS	astC	2.6.1.81	Succinylornithine transaminase
GCA_001614485_00036	CDS	sfaS_1		S-fimbrial adhesin protein SfaS
GCA_001614485_00037	CDS	sfaG_1		S-fimbrial protein subunit SfaG
GCA_001614485_00038	CDS	fimD_1		Outer membrane usher protein FimD
GCA_001614485_00039	CDS	fimC_1		Chaperone protein FimC
GCA_001614485_00040	CDS	lpfA_1		putative major fimbrial subunit LpfA
GCA_001614485_00041	CDS			Fimbrial subunit type 1
GCA_001614485_00042	CDS	dosC	2.7.7.65	Diguanylate cyclase DosC
GCA_001614485_00043	CDS			hypothetical protein
GCA_001614485_00044	CDS	gadC		putative glutamate/gamma-aminobutyrate antiporter
GCA_001614485_00045	CDS			hypothetical protein
GCA_001614485_00046	CDS			hypothetical protein
GCA_001614485_00047	CDS			hypothetical protein
GCA_001614485_00048	CDS			hypothetical protein
GCA_001614485_00049	CDS			hypothetical protein
GCA_001614485_00050	CDS			hypothetical protein
GCA_001614485_00051	CDS			hypothetical protein
GCA_001614485_00052	CDS			hypothetical protein
GCA_001614485_00053	CDS			hypothetical protein
GCA_001614485_00054	CDS			hypothetical protein
GCA_001614485_00055	CDS	yciC		Putative metal chaperone YciC
GCA_001614485_00056	CDS			hypothetical protein
GCA_001614485_00057	CDS			hypothetical protein
GCA_001614485_00058	CDS			hypothetical protein
GCA_001614485_00059	CDS			hypothetical protein
GCA_001614485_00060	CDS			hypothetical protein
GCA_001614485_00061	CDS	yfhM		putative lipoprotein YfhM
GCA_001614485_00062	CDS	pbpC		Penicillin-binding protein 1C
GCA_001614485_00063	CDS	ndk	2.7.4.6	Nucleoside diphosphate kinase
GCA_001614485_00064	CDS	rlmN	2.1.1.192	Dual-specificity RNA methyltransferase RlmN
GCA_001614485_00065	CDS			hypothetical protein
GCA_001614485_00066	CDS	rlpA	4.2.2.-	Endolytic peptidoglycan transglycosylase RlpA
GCA_001614485_00067	CDS	mrdB	2.4.1.129	Peptidoglycan glycosyltransferase MrdB
GCA_001614485_00068	CDS	mrdA	3.4.16.4	Peptidoglycan D,D-transpeptidase MrdA
GCA_001614485_00069	CDS	rlmH	2.1.1.177	Ribosomal RNA large subunit methyltransferase H
GCA_001614485_00070	CDS	rsfS		Ribosomal silencing factor RsfS
GCA_001614485_00071	CDS	cobC	3.1.3.73	Adenosylcobalamin/alpha-ribazole phosphatase
GCA_001614485_00072	CDS	flhC		Flagellar transcriptional regulator FlhC
GCA_001614485_00073	CDS	flhD		Flagellar transcriptional regulator FlhD
GCA_001614485_00074	CDS	uspC		Universal stress protein C
GCA_001614485_00075	CDS	otsA	2.4.1.15	Trehalose-6-phosphate synthase
GCA_001614485_00076	CDS	otsB	3.1.3.12	Trehalose-6-phosphate phosphatase
GCA_001614485_00077	CDS	rbsC_1		Ribose import permease protein RbsC
GCA_001614485_00078	CDS	araG	3.6.3.17	Arabinose import ATP-binding protein AraG
GCA_001614485_00079	CDS	codB_1		Cytosine permease
GCA_001614485_00080	CDS	atzF_1	3.5.1.54	Allophanate hydrolase
GCA_001614485_00081	CDS	arcC1_1	2.7.2.2	Carbamate kinase 1
GCA_001614485_00082	CDS			hypothetical protein
GCA_001614485_00083	CDS	sucD_1	6.2.1.5	Succinate--CoA ligase [ADP-forming] subunit alpha
GCA_001614485_00084	CDS			hypothetical protein
GCA_001614485_00085	CDS			hypothetical protein
GCA_001614485_00086	CDS			hypothetical protein
GCA_001614485_00087	CDS	ydiO	2.1.1.37	putative BsuMI modification methylase subunit YdiO
GCA_001614485_00088	CDS	htpG_1		Chaperone protein HtpG
GCA_001614485_00089	CDS			hypothetical protein
GCA_001614485_00090	CDS			hypothetical protein
GCA_001614485_00091	CDS	yagU		Inner membrane protein YagU
GCA_001614485_00092	CDS	ecpE		putative fimbrial chaperone EcpE
GCA_001614485_00093	CDS	yjaB_1	2.3.1.-	putative N-acetyltransferase YjaB
GCA_001614485_00094	CDS	metA	2.3.1.46	Homoserine O-succinyltransferase
GCA_001614485_00095	CDS	aceB	2.3.3.9	Malate synthase A
GCA_001614485_00096	CDS	aceA	4.1.3.1	Isocitrate lyase
GCA_001614485_00097	CDS	aceK	2.7.11.5	Isocitrate dehydrogenase kinase/phosphatase
GCA_001614485_00098	CDS	iclR		Transcriptional repressor IclR
GCA_001614485_00099	CDS	frsA	3.1.-.-	Esterase FrsA
GCA_001614485_00100	CDS	crl		Sigma factor-binding protein Crl
GCA_001614485_00101	CDS	phoE		Outer membrane pore protein E
GCA_001614485_00102	CDS	proB	2.7.2.11	Glutamate 5-kinase
GCA_001614485_00103	CDS	proA	1.2.1.41	Gamma-glutamyl phosphate reductase
GCA_001614485_00104	tRNA			tRNA-Thr(cgt)
GCA_001614485_00105	CDS	intS_1		Prophage integrase IntS
GCA_001614485_00106	CDS	mprA_1		Transcriptional repressor MprA
GCA_001614485_00107	CDS	hbp	3.4.21.-	Hemoglobin-binding protease hbp autotransporter
GCA_001614485_00108	CDS			hypothetical protein
GCA_001614485_00109	CDS			hypothetical protein
GCA_001614485_00110	CDS			hypothetical protein
GCA_001614485_00111	CDS			hypothetical protein
GCA_001614485_00112	CDS			hypothetical protein
GCA_001614485_00113	CDS			hypothetical protein
GCA_001614485_00114	CDS			hypothetical protein
GCA_001614485_00115	CDS			hypothetical protein
GCA_001614485_00116	CDS	yahA_1	3.1.4.-	Cyclic di-GMP phosphodiesterase YahA
GCA_001614485_00117	CDS			hypothetical protein
GCA_001614485_00118	CDS	ariR		putative two-component-system connector protein AriR
GCA_001614485_00119	CDS	ycgZ		putative two-component-system connector protein YcgZ
GCA_001614485_00120	CDS	bluF		Blue light- and temperature-regulated antirepressor BluF
GCA_001614485_00121	CDS	bluR		HTH-type transcriptional repressor BluR
GCA_001614485_00122	CDS			hypothetical protein
GCA_001614485_00123	CDS	ssuA		Putative aliphatic sulfonates-binding protein
GCA_001614485_00124	CDS	ssuD	1.14.14.5	Alkanesulfonate monooxygenase
GCA_001614485_00125	CDS	ssuC_1		Putative aliphatic sulfonates transport permease protein SsuC
GCA_001614485_00126	CDS	ssuB	3.6.3.-	Aliphatic sulfonates import ATP-binding protein SsuB
GCA_001614485_00127	CDS	pepN	3.4.11.2	Aminopeptidase N
GCA_001614485_00128	CDS	pncB	6.3.4.21	Nicotinate phosphoribosyltransferase
GCA_001614485_00129	CDS	putP		Sodium/proline symporter
GCA_001614485_00130	CDS	efeU		Ferrous iron permease EfeU
GCA_001614485_00131	CDS	efeO		Iron uptake system component EfeO
GCA_001614485_00132	CDS	efeB	1.11.1.-	Deferrochelatase/peroxidase EfeB
GCA_001614485_00133	CDS			hypothetical protein
GCA_001614485_00134	CDS			PhoH-like protein
GCA_001614485_00135	CDS			hypothetical protein
GCA_001614485_00136	CDS			hypothetical protein
GCA_001614485_00137	CDS			hypothetical protein
GCA_001614485_00138	CDS			hypothetical protein
GCA_001614485_00139	CDS			hypothetical protein
GCA_001614485_00140	CDS			hypothetical protein
GCA_001614485_00141	CDS	rusA_1	3.1.22.4	Crossover junction endodeoxyribonuclease RusA
GCA_001614485_00142	CDS	dnaJ_1		Chaperone protein DnaJ
GCA_001614485_00143	tRNA			tRNA-Met(cat)
GCA_001614485_00144	CDS	hokB_1		Toxin HokB
